Year,Indicator Name,Indicator Code,Value
2019,Adequacy of benefits in extreme poor (<$2.15 a day) (%) -All Social Protection and Labor  (preT),per_allsp.adq_ep_preT_tot,80.2136132832752
2016,Adequacy of benefits in extreme poor (<$2.15 a day) (%) -All Social Protection and Labor  (preT),per_allsp.adq_ep_preT_tot,69.6568156445974
2012,Adequacy of benefits in extreme poor (<$2.15 a day) (%) -All Social Protection and Labor  (preT),per_allsp.adq_ep_preT_tot,69.3493829569047
2009,Adequacy of benefits in extreme poor (<$2.15 a day) (%) -All Social Protection and Labor  (preT),per_allsp.adq_ep_preT_tot,43.8860866425825
2006,Adequacy of benefits in extreme poor (<$2.15 a day) (%) -All Social Protection and Labor  (preT),per_allsp.adq_ep_preT_tot,30.6096038548707
2019,Adequacy of benefits in extreme poor (<$2.15 a day) (%) -All Social Protection and Labor,per_allsp.adq_ep_tot,21.6862702182534
2016,Adequacy of benefits in extreme poor (<$2.15 a day) (%) -All Social Protection and Labor,per_allsp.adq_ep_tot,19.2343355176775
2012,Adequacy of benefits in extreme poor (<$2.15 a day) (%) -All Social Protection and Labor,per_allsp.adq_ep_tot,12.9514420083978
2009,Adequacy of benefits in extreme poor (<$2.15 a day) (%) -All Social Protection and Labor,per_allsp.adq_ep_tot,7.58985732444941
2006,Adequacy of benefits in extreme poor (<$2.15 a day) (%) -All Social Protection and Labor,per_allsp.adq_ep_tot,9.0728376776135
2019,Adequacy of benefits (%) -All Social Protection and Labor (preT),per_allsp.adq_pop_preT_tot,17.1178190426875
2016,Adequacy of benefits (%) -All Social Protection and Labor (preT),per_allsp.adq_pop_preT_tot,17.3317401997815
2012,Adequacy of benefits (%) -All Social Protection and Labor (preT),per_allsp.adq_pop_preT_tot,15.464731396026
2009,Adequacy of benefits (%) -All Social Protection and Labor (preT),per_allsp.adq_pop_preT_tot,15.9613387946396
2006,Adequacy of benefits (%) -All Social Protection and Labor (preT),per_allsp.adq_pop_preT_tot,15.2510635119599
2019,Adequacy of benefits (%) -All Social Protection and Labor -rural,per_allsp.adq_pop_rur,16.7044167097309
2016,Adequacy of benefits (%) -All Social Protection and Labor -rural,per_allsp.adq_pop_rur,16.6587604559306
2012,Adequacy of benefits (%) -All Social Protection and Labor -rural,per_allsp.adq_pop_rur,14.0694719715477
2009,Adequacy of benefits (%) -All Social Protection and Labor -rural,per_allsp.adq_pop_rur,15.2011484872305
2006,Adequacy of benefits (%) -All Social Protection and Labor -rural,per_allsp.adq_pop_rur,14.3834026533583
2019,Adequacy of benefits (%) -All Social Protection and Labor -urban,per_allsp.adq_pop_urb,18.73837689646
2016,Adequacy of benefits (%) -All Social Protection and Labor -urban,per_allsp.adq_pop_urb,20.540134459363
2012,Adequacy of benefits (%) -All Social Protection and Labor -urban,per_allsp.adq_pop_urb,21.3068762712586
2009,Adequacy of benefits (%) -All Social Protection and Labor -urban,per_allsp.adq_pop_urb,19.3622286758901
2006,Adequacy of benefits (%) -All Social Protection and Labor -urban,per_allsp.adq_pop_urb,19.3003076646157
2019,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor (preT),per_allsp.adq_q1_preT_tot,28.4643909957977
2016,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor (preT),per_allsp.adq_q1_preT_tot,26.7074431815136
2012,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor (preT),per_allsp.adq_q1_preT_tot,23.5147233616959
2009,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor (preT),per_allsp.adq_q1_preT_tot,17.5291540556472
2006,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor (preT),per_allsp.adq_q1_preT_tot,17.8660852277414
2019,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor -rural,per_allsp.adq_q1_rur,15.7603998544753
2016,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor -rural,per_allsp.adq_q1_rur,13.4731526900944
2012,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor -rural,per_allsp.adq_q1_rur,7.72659921053113
2009,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor -rural,per_allsp.adq_q1_rur,6.87008103760727
2006,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor -rural,per_allsp.adq_q1_rur,8.10203856380337
2019,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor,per_allsp.adq_q1_tot,15.2734406902955
2016,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor,per_allsp.adq_q1_tot,12.9665465216612
2012,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor,per_allsp.adq_q1_tot,7.84717463604193
2009,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor,per_allsp.adq_q1_tot,7.14867700782133
2006,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor,per_allsp.adq_q1_tot,7.99550913891442
2019,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor -urban,per_allsp.adq_q1_urb,14.4089307855782
2016,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor -urban,per_allsp.adq_q1_urb,13.1152747679798
2012,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor -urban,per_allsp.adq_q1_urb,7.51396119895726
2009,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor -urban,per_allsp.adq_q1_urb,9.42111451248553
2006,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor -urban,per_allsp.adq_q1_urb,7.20883566741192
2019,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor (preT),per_allsp.adq_q2_preT_tot,14.2580078011005
2016,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor (preT),per_allsp.adq_q2_preT_tot,15.6766765793432
2012,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor (preT),per_allsp.adq_q2_preT_tot,11.8701882182575
2009,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor (preT),per_allsp.adq_q2_preT_tot,10.4159636806441
2006,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor (preT),per_allsp.adq_q2_preT_tot,11.9288799262972
2019,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor -rural,per_allsp.adq_q2_rur,13.562592280243
2016,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor -rural,per_allsp.adq_q2_rur,12.2031349031233
2012,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor -rural,per_allsp.adq_q2_rur,10.9031780554226
2009,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor -rural,per_allsp.adq_q2_rur,8.05663183653617
2006,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor -rural,per_allsp.adq_q2_rur,7.40606443496539
2019,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor,per_allsp.adq_q2_tot,13.7523068076121
2016,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor,per_allsp.adq_q2_tot,12.7523224176954
2012,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor,per_allsp.adq_q2_tot,10.5672274987507
2009,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor,per_allsp.adq_q2_tot,8.25366628470999
2006,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor,per_allsp.adq_q2_tot,7.34077272550677
2019,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor -urban,per_allsp.adq_q2_urb,18.241940897178
2016,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor -urban,per_allsp.adq_q2_urb,15.0714375553434
2012,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor -urban,per_allsp.adq_q2_urb,16.2876373152709
2009,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor -urban,per_allsp.adq_q2_urb,12.2030102811566
2006,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor -urban,per_allsp.adq_q2_urb,6.82354209366256
2019,Adequacy of benefits in 3rd quintile (%) -All Social Protection and Labor (preT),per_allsp.adq_q3_preT_tot,14.2962425961666
2016,Adequacy of benefits in 3rd quintile (%) -All Social Protection and Labor (preT),per_allsp.adq_q3_preT_tot,15.0051767600051
2012,Adequacy of benefits in 3rd quintile (%) -All Social Protection and Labor (preT),per_allsp.adq_q3_preT_tot,13.8616321372087
2009,Adequacy of benefits in 3rd quintile (%) -All Social Protection and Labor (preT),per_allsp.adq_q3_preT_tot,13.007821140097
2006,Adequacy of benefits in 3rd quintile (%) -All Social Protection and Labor (preT),per_allsp.adq_q3_preT_tot,11.6446969079306
2019,Adequacy of benefits in 3rd quintile (%) -All Social Protection and Labor -rural,per_allsp.adq_q3_rur,14.5695834333112
2016,Adequacy of benefits in 3rd quintile (%) -All Social Protection and Labor -rural,per_allsp.adq_q3_rur,14.2916744796734
2012,Adequacy of benefits in 3rd quintile (%) -All Social Protection and Labor -rural,per_allsp.adq_q3_rur,10.1654450889077
2009,Adequacy of benefits in 3rd quintile (%) -All Social Protection and Labor -rural,per_allsp.adq_q3_rur,10.2341616783237
2006,Adequacy of benefits in 3rd quintile (%) -All Social Protection and Labor -rural,per_allsp.adq_q3_rur,11.1161488253481
2019,Adequacy of benefits in 3rd quintile (%) -All Social Protection and Labor,per_allsp.adq_q3_tot,14.8844418944561
2016,Adequacy of benefits in 3rd quintile (%) -All Social Protection and Labor,per_allsp.adq_q3_tot,14.9919754490081
2012,Adequacy of benefits in 3rd quintile (%) -All Social Protection and Labor,per_allsp.adq_q3_tot,11.9041437828089
2009,Adequacy of benefits in 3rd quintile (%) -All Social Protection and Labor,per_allsp.adq_q3_tot,10.8865550171367
2006,Adequacy of benefits in 3rd quintile (%) -All Social Protection and Labor,per_allsp.adq_q3_tot,11.631335638163
2019,Adequacy of benefits in 3rd quintile (%) -All Social Protection and Labor -urban,per_allsp.adq_q3_urb,21.5644620118154
2016,Adequacy of benefits in 3rd quintile (%) -All Social Protection and Labor -urban,per_allsp.adq_q3_urb,18.3914763489197
2012,Adequacy of benefits in 3rd quintile (%) -All Social Protection and Labor -urban,per_allsp.adq_q3_urb,24.3447993254295
2009,Adequacy of benefits in 3rd quintile (%) -All Social Protection and Labor -urban,per_allsp.adq_q3_urb,16.2668841254888
2006,Adequacy of benefits in 3rd quintile (%) -All Social Protection and Labor -urban,per_allsp.adq_q3_urb,13.55501696159
