Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Sri Lanka,LKA,2019,Adequacy of benefits in extreme poor (<$2.15 a day) (%) -All Social Protection and Labor  (preT),per_allsp.adq_ep_preT_tot,80.2136132832752
Sri Lanka,LKA,2016,Adequacy of benefits in extreme poor (<$2.15 a day) (%) -All Social Protection and Labor  (preT),per_allsp.adq_ep_preT_tot,69.6568156445974
Sri Lanka,LKA,2012,Adequacy of benefits in extreme poor (<$2.15 a day) (%) -All Social Protection and Labor  (preT),per_allsp.adq_ep_preT_tot,69.3493829569047
Sri Lanka,LKA,2009,Adequacy of benefits in extreme poor (<$2.15 a day) (%) -All Social Protection and Labor  (preT),per_allsp.adq_ep_preT_tot,43.8860866425825
Sri Lanka,LKA,2006,Adequacy of benefits in extreme poor (<$2.15 a day) (%) -All Social Protection and Labor  (preT),per_allsp.adq_ep_preT_tot,30.6096038548707
Sri Lanka,LKA,2019,Adequacy of benefits in extreme poor (<$2.15 a day) (%) -All Social Protection and Labor,per_allsp.adq_ep_tot,21.6862702182534
Sri Lanka,LKA,2016,Adequacy of benefits in extreme poor (<$2.15 a day) (%) -All Social Protection and Labor,per_allsp.adq_ep_tot,19.2343355176775
Sri Lanka,LKA,2012,Adequacy of benefits in extreme poor (<$2.15 a day) (%) -All Social Protection and Labor,per_allsp.adq_ep_tot,12.9514420083978
Sri Lanka,LKA,2009,Adequacy of benefits in extreme poor (<$2.15 a day) (%) -All Social Protection and Labor,per_allsp.adq_ep_tot,7.58985732444941
Sri Lanka,LKA,2006,Adequacy of benefits in extreme poor (<$2.15 a day) (%) -All Social Protection and Labor,per_allsp.adq_ep_tot,9.0728376776135
Sri Lanka,LKA,2019,Adequacy of benefits (%) -All Social Protection and Labor (preT),per_allsp.adq_pop_preT_tot,17.1178190426875
Sri Lanka,LKA,2016,Adequacy of benefits (%) -All Social Protection and Labor (preT),per_allsp.adq_pop_preT_tot,17.3317401997815
Sri Lanka,LKA,2012,Adequacy of benefits (%) -All Social Protection and Labor (preT),per_allsp.adq_pop_preT_tot,15.464731396026
Sri Lanka,LKA,2009,Adequacy of benefits (%) -All Social Protection and Labor (preT),per_allsp.adq_pop_preT_tot,15.9613387946396
Sri Lanka,LKA,2006,Adequacy of benefits (%) -All Social Protection and Labor (preT),per_allsp.adq_pop_preT_tot,15.2510635119599
Sri Lanka,LKA,2019,Adequacy of benefits (%) -All Social Protection and Labor -rural,per_allsp.adq_pop_rur,16.7044167097309
Sri Lanka,LKA,2016,Adequacy of benefits (%) -All Social Protection and Labor -rural,per_allsp.adq_pop_rur,16.6587604559306
Sri Lanka,LKA,2012,Adequacy of benefits (%) -All Social Protection and Labor -rural,per_allsp.adq_pop_rur,14.0694719715477
Sri Lanka,LKA,2009,Adequacy of benefits (%) -All Social Protection and Labor -rural,per_allsp.adq_pop_rur,15.2011484872305
Sri Lanka,LKA,2006,Adequacy of benefits (%) -All Social Protection and Labor -rural,per_allsp.adq_pop_rur,14.3834026533583
Sri Lanka,LKA,2019,Adequacy of benefits (%) -All Social Protection and Labor -urban,per_allsp.adq_pop_urb,18.73837689646
Sri Lanka,LKA,2016,Adequacy of benefits (%) -All Social Protection and Labor -urban,per_allsp.adq_pop_urb,20.540134459363
Sri Lanka,LKA,2012,Adequacy of benefits (%) -All Social Protection and Labor -urban,per_allsp.adq_pop_urb,21.3068762712586
Sri Lanka,LKA,2009,Adequacy of benefits (%) -All Social Protection and Labor -urban,per_allsp.adq_pop_urb,19.3622286758901
Sri Lanka,LKA,2006,Adequacy of benefits (%) -All Social Protection and Labor -urban,per_allsp.adq_pop_urb,19.3003076646157
Sri Lanka,LKA,2019,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor (preT),per_allsp.adq_q1_preT_tot,28.4643909957977
Sri Lanka,LKA,2016,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor (preT),per_allsp.adq_q1_preT_tot,26.7074431815136
Sri Lanka,LKA,2012,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor (preT),per_allsp.adq_q1_preT_tot,23.5147233616959
